brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,37990,4.2
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,41990,3.6
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,45990,4.5
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,39990,4.3
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,42490,4.8
Infinix,Intel,Core i3,8 GB GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,32990,4.3
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,36990,4.3
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Yes,Yes,53990,4.4
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,36990,4.4
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,38940,4.3
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,39490,4.4
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,45990,4.5
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,39999,5
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,42990,4.3
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Yes,No,49990,4.2
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,41490,4.3
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,41990,4.2
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,41990,4.4
Infinix,Intel,Core i3,8 GB GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,32990,4.3
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,38490,3.8
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,38990,4.4
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,44990,4.1
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,36490,0
Lenovo,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,38970,0
HP,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,44900,4.2
MSI,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,38990,4.5
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,44427,0
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,35990,0
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,40200,3.9
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,40990,3.7
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,42490,0
realme,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,47999,4.4
acer,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,23990,3.3
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Yes,No,71999,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,39990,4.4
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,41998,4.4
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,41990,0
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,39999,0
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,39990,0
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,39998,4.2
HP,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42490,4.4
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,41990,3.7
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,48490,0
HP,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,44376,4.2
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,43900,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,46690,0
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,No,No,40990,5
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,39990,4
Lenovo,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,43990,0
ASUS,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,36990,4.5
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,48500,0
ASUS,Intel,Core i3,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,48990,0
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,23490,4.2
HP,Intel,Core i3,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Yes,Yes,54238,4.4
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,37990,4.3
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42990,4.4
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42990,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,35990,4.4
RedmiBook,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,No,No,42990,4.3
